CustomerID,Age,Annual Income (k$),Spending Score (1-100),Gender,Annual_Spend,Visit_Frequency
159,46,45,40,Male,73132,9
160,41,37,69,Male,31238,20
161,22,26,52,Male,49629,5
162,25,65,48,Female,47270,4
163,40,49,63,Male,62512,7
164,27,79,44,Female,48548,12
165,51,25,20,Male,54275,11
166,52,93,57,Female,68307,20
167,45,44,43,Male,31901,13
168,27,24,35,Female,40291,12
169,24,31,60,Female,76550,15
170,26,28,43,Female,70861,13
171,49,48,11,Male,78713,12
172,33,29,71,Male,67184,11
173,27,45,46,Female,63729,7
174,38,85,34,Female,53802,1
175,18,81,66,Female,47925,18
176,29,45,31,Male,50360,7
177,24,42,77,Female,43340,14
178,18,60,39,Female,37826,8
179,25,20,51,Male,51339,3
180,42,31,11,Male,58843,15
181,40,49,57,Male,77018,6
182,21,44,42,Female,36087,12
183,26,15,26,Female,43459,7
184,42,81,16,Male,67353,21
185,31,44,52,Female,53438,7
186,53,29,56,Female,40958,8
187,21,51,3,Male,50910,21
188,38,51,100,Female,75475,19
189,32,38,62,Male,29551,8
190,26,36,41,Male,48407,9
191,48,60,85,Female,34548,6
192,33,55,19,Male,19559,1
193,29,74,26,Male,42533,18
194,42,61,62,Female,82984,5
195,37,27,43,Male,50850,15
196,60,72,73,Female,39796,7
197,34,31,70,Female,33538,10
198,18,70,54,Female,38796,4
199,36,57,44,Male,55131,13
200,18,54,54,Male,57838,11
201,20,29,26,Female,54901,16
202,25,48,25,Female,57104,17
203,31,21,55,Male,66393,11
204,21,67,39,Male,19986,7
205,18,82,45,Male,44397,9
206,28,51,71,Female,58357,9
207,18,50,68,Male,43727,22
208,25,86,50,Male,55599,9
209,29,27,26,Male,52857,10
210,32,33,74,Female,43640,14
211,39,55,54,Female,71486,19
212,46,57,30,Male,39362,15
213,52,55,15,Male,77986,12
214,29,70,50,Male,37642,13
215,28,74,60,Female,85626,9
216,35,61,79,Male,58364,8
217,19,36,24,Male,43991,9
218,40,55,37,Female,58849,12
219,38,46,52,Male,33883,12
220,43,87,66,Male,57702,10
221,32,36,25,Female,73851,6
222,39,57,38,Female,58032,5
223,22,67,9,Female,30956,12
224,61,78,77,Male,33846,3
225,33,37,88,Female,26721,9
226,52,43,71,Female,36915,8
227,49,19,59,Male,58413,9
228,29,16,52,Female,56206,19
229,25,55,20,Male,58905,1
230,24,58,41,Male,51932,13
231,33,38,77,Male,13618,18
232,25,70,55,Male,38297,20
233,35,67,1,Female,21937,14
234,30,52,96,Female,12453,12
235,39,37,68,Female,46412,11
236,37,52,31,Female,61056,12
237,50,38,30,Female,42028,15
238,34,73,73,Female,34196,15
239,50,38,20,Female,54481,22
240,18,54,55,Male,57873,18
241,27,51,32,Male,34677,10
242,34,27,98,Female,25496,7
243,32,66,25,Male,34848,14
244,21,31,65,Male,57355,18
245,18,28,54,Male,49523,11
246,39,31,12,Male,61525,8
247,18,56,48,Female,32081,17
248,30,18,37,Male,53788,18
249,36,15,36,Male,24628,10
250,40,47,34,Female,63212,15
251,19,15,67,Female,29928,9
252,27,21,69,Female,60640,13
253,55,91,85,Female,59108,14
254,20,59,59,Male,48904,17
255,40,51,43,Female,77785,15
256,20,66,68,Female,47701,2
257,48,35,57,Male,76162,14
258,26,23,6,Male,37141,5
259,31,28,39,Male,39192,6
260,19,33,38,Male,45049,1
261,65,78,48,Female,49770,9
262,52,58,65,Male,35903,7
263,24,66,57,Female,38003,17
264,43,40,25,Female,56647,11
265,40,19,45,Female,38294,11
266,40,29,100,Female,37480,12
267,18,35,43,Male,51277,9
268,46,43,69,Male,29487,11
269,22,25,49,Female,39651,10
270,34,17,100,Male,63642,3
271,18,67,88,Female,72430,12
272,29,81,21,Female,56705,6
273,31,45,63,Male,46609,9
274,18,55,76,Female,86044,12
275,40,56,70,Female,48831,7
276,45,16,62,Male,46307,7
277,28,53,44,Female,33392,22
278,24,15,34,Male,37626,11
279,19,50,45,Male,22360,9
280,55,28,22,Male,24962,9
281,49,69,69,Female,41942,13
282,50,30,68,Female,60338,17
283,30,67,61,Male,63070,6
284,29,38,61,Female,50997,20
285,24,67,12,Female,32574,12
286,29,47,74,Female,39559,12
287,28,17,44,Male,55077,12
288,34,89,44,Male,67954,12
289,29,56,24,Female,69539,1
290,39,67,47,Male,8016,15
291,38,47,23,Male,46953,7
292,40,22,46,Male,47821,11
293,37,46,56,Male,32133,25
294,35,31,80,Female,39234,17
295,18,24,33,Female,58087,19
296,53,32,44,Male,62025,9
297,36,66,94,Female,36809,13
298,45,49,72,Female,70304,12
299,33,47,46,Female,58563,5
300,42,25,36,Male,49926,22
301,25,60,40,Female,70541,18
302,28,40,43,Female,32938,15
303,39,47,82,Female,17905,5
304,37,90,78,Female,50339,10
305,58,59,50,Male,42595,11
306,37,79,62,Male,43957,14
307,39,24,49,Male,24993,11
308,18,47,63,Female,34258,9
309,31,15,56,Female,66749,18
310,35,47,51,Male,43606,14
311,23,71,92,Female,44829,12
312,35,15,46,Female,77182,16
313,46,66,37,Male,29716,9
314,18,38,7,Male,18825,7
315,42,42,52,Male,70908,9
316,22,56,45,Male,38147,9
317,40,65,68,Female,44244,14
318,34,34,44,Male,49916,19
319,55,18,60,Male,27156,9
320,35,64,40,Female,63840,14
321,42,54,13,Male,56216,20
322,22,65,42,Male,62749,8
323,24,78,63,Female,16595,7
324,39,44,75,Female,12852,6
325,46,62,29,Female,44163,5
326,23,15,39,Male,40160,18
327,35,61,34,Female,47889,13
328,21,53,47,Female,36965,20
329,47,51,95,Female,73548,7
330,56,47,73,Female,41631,9
331,45,51,56,Male,52016,12
332,35,40,52,Male,66487,13
333,57,81,4,Female,46553,21
334,44,17,49,Male,44748,13
335,18,62,100,Male,43831,11
336,18,42,45,Male,45734,15
337,31,34,40,Female,45971,15
338,43,58,24,Male,48705,16
339,22,70,63,Female,35242,9
340,34,73,61,Female,66242,14
341,18,32,86,Male,18583,13
342,53,53,74,Male,66233,5
343,29,60,93,Male,37430,12
344,18,34,33,Male,58113,9
345,32,15,69,Female,51874,14
346,32,15,48,Male,63840,12
347,29,42,100,Female,79904,9
348,27,49,31,Female,29434,5
349,18,57,65,Male,66251,11
350,40,47,69,Female,60474,15
351,22,78,61,Female,85922,9
352,37,72,50,Female,56966,9
353,45,37,21,Female,42658,13
354,18,35,12,Male,19206,22
355,18,44,58,Female,59011,19
356,44,33,57,Female,21035,11
357,31,70,10,Female,65086,7
358,47,15,57,Male,30307,15
359,37,59,41,Female,66958,20
360,25,70,67,Male,80750,12
361,29,78,95,Female,61620,16
362,29,53,92,Male,70791,8
363,70,58,20,Male,41764,7
364,20,75,46,Male,49369,7
365,43,55,27,Female,36776,9
366,42,34,16,Male,69669,10
367,52,47,38,Female,35378,7
368,38,74,35,Male,51474,16
369,43,42,13,Female,47787,16
370,30,36,59,Female,37552,13
371,38,75,33,Female,52632,7
372,34,63,12,Male,27125,10
373,18,31,84,Female,20625,11
374,24,48,22,Female,46841,18
375,29,15,40,Female,62133,6
376,42,67,71,Female,56276,7
377,46,44,21,Male,47927,9
378,18,80,4,Male,38622,15
379,18,78,52,Female,42297,8
380,57,55,81,Female,61119,17
381,61,76,59,Female,55762,20
382,44,49,74,Male,25648,9
383,34,34,33,Female,30838,10
384,30,37,39,Male,52094,15
385,18,58,76,Male,18656,15
386,50,66,81,Female,65570,13
387,62,79,10,Female,29688,11
388,45,74,66,Female,68487,4
389,64,70,49,Male,36424,11
390,31,43,6,Female,69139,22
391,49,59,9,Female,44893,11
392,22,26,72,Male,47351,14
393,35,29,72,Male,41925,4
394,42,39,23,Male,85300,10
395,18,60,11,Male,52956,1
396,50,45,40,Female,70994,9
397,38,34,75,Male,54160,18
398,32,57,89,Male,45446,7
399,27,29,35,Male,63031,9
400,37,40,50,Male,42836,8
401,18,46,62,Male,59834,13
402,18,68,87,Male,35650,15
403,39,44,52,Male,57164,13
404,39,68,57,Female,40881,7
405,36,30,73,Male,40133,5
406,39,85,62,Female,32456,14
407,35,22,92,Male,21922,12
408,18,54,96,Male,37915,8
409,25,32,17,Male,36586,18
410,18,55,43,Female,43957,8
411,28,25,65,Male,78313,22
412,56,56,100,Male,32568,17
413,27,82,7,Male,54027,5
414,36,42,82,Male,83830,21
415,40,52,70,Male,43575,11
416,53,49,17,Female,75816,8
417,33,64,43,Female,55856,20
418,37,84,42,Male,54240,9
419,42,36,95,Male,70181,5
420,39,15,54,Female,23270,9
421,26,51,24,Female,58832,14
422,44,87,56,Female,51185,14
423,33,70,10,Female,78948,4
424,30,69,57,Female,31192,14
425,38,66,40,Male,46911,8
426,69,87,59,Female,49222,5
427,18,57,73,Male,37694,3
428,38,63,60,Male,43520,15
429,27,61,39,Male,20458,4
430,59,34,65,Male,64880,9
431,30,44,19,Female,34813,11
432,40,36,48,Female,54334,16
433,38,41,12,Male,68635,16
434,23,52,46,Female,33423,15
435,33,15,21,Male,38089,6
436,18,54,4,Male,32067,14
437,18,24,37,Female,33961,17
438,28,89,45,Male,64172,15
439,29,60,45,Female,80112,20
440,21,54,32,Female,47106,10
441,48,67,26,Female,34799,13
442,34,51,58,Male,19003,11
443,57,91,56,Male,57103,18
444,23,62,43,Female,50089,9
445,19,71,39,Female,43853,13
446,41,63,80,Male,68780,8
447,31,43,42,Female,45465,18
448,59,69,53,Male,63536,14
449,46,33,35,Female,32600,11
450,18,52,4,Male,59992,21
451,51,54,25,Female,58002,13
452,25,30,33,Male,51920,12
453,45,33,70,Male,45554,17
454,18,44,73,Male,27417,10
455,59,47,68,Female,37979,11
456,18,64,17,Female,39674,11
457,43,55,45,Male,54322,12
458,49,15,48,Female,24517,8
459,33,15,52,Male,43351,9
460,23,74,70,Female,50061,19
461,29,92,31,Male,62261,6
462,24,33,58,Female,48595,10
463,42,40,20,Male,65625,12
464,30,66,74,Male,27632,14
465,50,76,100,Male,78585,14
466,19,47,97,Female,54635,11
467,51,21,37,Female,48672,5
468,33,49,50,Female,41257,5
469,45,20,80,Male,38531,1
470,35,51,37,Male,57088,9
471,46,43,28,Female,33809,6
472,34,41,42,Female,77232,10
473,47,62,65,Female,74839,4
474,37,57,35,Male,51749,12
475,22,25,82,Male,54912,12
476,33,36,54,Female,59482,16
477,41,78,33,Female,50787,15
478,23,82,41,Male,55262,8
479,35,29,24,Male,64564,17
480,18,55,70,Male,62500,4
481,35,51,17,Female,52975,17
482,39,48,64,Female,77250,11
483,42,42,49,Female,47364,10
484,32,53,25,Female,29617,1
485,36,47,100,Male,58317,20
486,22,48,54,Male,41109,1
487,18,50,55,Female,56328,11
488,25,56,58,Female,52049,17
489,37,28,53,Female,43837,13
490,27,56,2,Female,25087,22
491,37,55,47,Male,66410,4
492,37,42,49,Male,65318,1
493,47,15,32,Female,28251,11
494,18,52,32,Male,75112,24
495,34,74,72,Female,67563,4
496,36,65,45,Female,54951,15
497,46,107,6,Female,83214,11
498,37,48,69,Male,64616,10
499,50,47,66,Female,65107,7
500,18,52,37,Male,39125,1
501,24,28,51,Male,38449,9
502,50,46,83,Female,56950,13
503,36,43,89,Male,55022,4
504,36,18,68,Female,75404,20
505,58,25,29,Male,37624,1
506,18,76,7,Female,42787,6
507,46,73,52,Male,70008,12
508,31,58,53,Female,87710,17
509,54,52,32,Female,50210,13
510,28,63,38,Male,53137,14
511,37,43,28,Female,20575,7
512,40,77,29,Male,34047,2
513,43,29,19,Female,61613,12
514,47,62,28,Male,42440,11
515,21,31,75,Male,57385,1
516,48,37,71,Female,67385,13
517,28,39,86,Male,84080,9
518,51,37,88,Male,33242,16
519,49,15,39,Male,59964,9
520,25,45,28,Female,56920,11
521,22,73,61,Female,48477,7
522,44,37,79,Male,55547,14
523,19,77,23,Male,44444,17
524,18,71,23,Female,45829,2
525,46,63,35,Female,56933,14
526,21,36,71,Female,45968,9
527,28,43,58,Female,46288,14
528,46,70,67,Male,45583,8
529,37,61,18,Male,46569,10
530,18,69,20,Male,58205,18
531,53,48,37,Male,41140,14
532,33,67,100,Female,59366,7
533,27,51,47,Male,66650,16
534,39,49,3,Male,53977,3
535,38,61,49,Female,73997,8
536,30,27,78,Female,67584,24
537,21,34,23,Female,30871,1
538,34,48,49,Female,60564,15
539,26,48,37,Male,46915,20
540,24,35,21,Female,37198,14
541,30,50,23,Male,20216,7
542,18,48,59,Female,39833,5
543,18,34,33,Female,74635,9
544,18,82,53,Female,24331,8
545,42,31,38,Male,41327,9
546,50,51,49,Male,53384,25
547,27,39,45,Female,79128,12
548,45,34,87,Male,43940,10
549,42,76,69,Male,75259,11
550,68,48,38,Male,52695,6
551,20,41,43,Male,48962,18
552,37,54,62,Female,54914,16
553,48,60,92,Female,52132,10
554,18,57,37,Female,44512,10
555,40,71,24,Male,73638,20
556,45,48,74,Male,48471,11
557,23,53,100,Female,50126,15
558,39,16,29,Female,44456,13
559,21,88,36,Male,50020,10
560,52,34,58,Male,42671,1
561,39,54,34,Female,42310,17
562,36,41,29,Male,50969,4
563,26,31,68,Male,43357,22
564,32,52,77,Female,46224,10
565,18,44,55,Female,46208,12
566,36,45,21,Male,64225,5
567,25,53,44,Male,45219,15
568,30,58,39,Male,59121,12
569,52,60,49,Female,55867,8
570,34,54,4,Female,40000,12
571,34,70,44,Male,62937,17
572,48,82,24,Male,64629,10
573,28,87,21,Female,73445,19
574,43,72,16,Male,58960,16
575,31,15,16,Female,47496,14
576,39,45,37,Female,41525,22
577,27,55,25,Male,66059,9
578,27,52,41,Female,79527,14
579,23,66,24,Male,41094,5
580,36,34,56,Male,44761,15
581,24,53,45,Male,30933,7
582,57,93,23,Male,59199,13
583,39,58,42,Male,48676,7
584,24,59,37,Male,47357,18
585,26,47,20,Female,32551,20
586,36,36,100,Female,44887,6
587,44,27,36,Male,66344,16
588,32,26,68,Female,50433,10
589,53,65,71,Female,53398,14
590,46,35,70,Female,28674,13
591,28,16,44,Male,45493,3
592,44,62,59,Male,43989,7
593,33,42,51,Male,57753,2
594,21,63,57,Female,49454,16
595,54,82,13,Male,30079,8
596,48,20,58,Male,68580,8
597,21,69,59,Male,52057,16
598,30,49,44,Male,70513,7
599,40,63,80,Male,51005,14
600,50,16,80,Female,51565,14
601,48,53,71,Female,49542,14
602,47,53,24,Female,17765,10
603,41,56,8,Male,57410,13
604,58,51,35,Female,53498,11
605,59,25,25,Male,40299,11
606,34,56,27,Female,43173,14
607,48,41,34,Female,80196,8
608,18,45,49,Male,22236,10
609,28,34,14,Male,65535,26
610,34,60,83,Male,68843,11
611,47,15,35,Male,23946,16
612,18,55,2,Female,28933,1
613,18,62,50,Male,56795,8
614,31,16,58,Male,44704,11
615,24,69,37,Male,29900,21
616,45,41,58,Female,43008,15
617,27,60,57,Male,48631,12
618,37,42,40,Female,25695,9
619,29,36,44,Female,54949,6
620,45,78,92,Male,46693,3
621,25,49,43,Female,86404,10
622,29,48,21,Female,34235,9
623,30,60,4,Female,43788,9
624,18,63,73,Female,52043,8
625,30,50,70,Male,53757,11
626,44,23,31,Male,28651,5
627,38,52,39,Male,43765,16
628,18,40,65,Female,42921,13
629,26,48,92,Male,55410,8
630,31,51,42,Female,59480,5
631,39,81,59,Female,31596,5
632,40,56,8,Female,30077,16
633,37,29,35,Male,63226,7
634,40,86,69,Male,29640,16
635,38,61,73,Female,30523,2
636,18,47,50,Female,56377,16
637,31,60,100,Female,62317,19
638,42,52,25,Male,28731,17
639,29,82,46,Female,53773,10
640,20,61,74,Male,32376,5
641,18,15,89,Female,45789,10
642,26,48,44,Female,48324,12
643,29,70,46,Female,28267,21
644,43,24,33,Male,73597,12
645,40,74,40,Female,44973,11
646,38,15,21,Female,64297,9
647,35,77,56,Male,68928,8
648,30,59,52,Male,48366,19
649,18,77,77,Male,45134,10
650,31,36,69,Male,41828,6
651,55,32,51,Female,62661,16
652,39,66,62,Female,32514,20
653,30,60,58,Female,62273,14
654,30,55,65,Male,53595,15
655,34,15,100,Female,31662,8
656,43,85,72,Female,49928,11
657,21,69,58,Male,64853,15
658,20,50,20,Male,49933,4
659,38,57,61,Male,58646,19
660,45,32,73,Female,19102,6
661,40,31,36,Female,32792,17
662,18,77,69,Male,66705,12
663,27,75,87,Male,21712,9
664,40,51,30,Male,33193,10
665,34,88,67,Female,38924,15
666,27,63,45,Male,71858,15
667,27,41,19,Female,58375,22
668,29,35,54,Female,40467,10
669,30,78,66,Female,61402,20
670,35,31,52,Male,54668,17
671,29,36,57,Female,57909,10
672,32,50,50,Female,58358,11
673,31,34,57,Male,55002,3
674,36,27,38,Female,28969,13
675,26,57,72,Male,30623,7
676,48,70,87,Male,57282,5
677,68,43,66,Female,66352,9
678,41,57,21,Male,62278,18
679,27,69,36,Female,19389,16
680,35,53,4,Male,36157,17
681,35,20,17,Female,59040,14
682,19,42,55,Male,21594,15
683,31,70,52,Female,50259,18
684,35,28,22,Female,61719,5
685,47,44,32,Female,54052,13
686,33,37,27,Male,62181,4
687,30,92,14,Female,49857,9
688,18,67,49,Male,43610,11
689,54,43,54,Male,64327,19
690,36,26,27,Male,45883,7
691,41,55,74,Female,48496,10
692,56,44,31,Female,37005,17
693,48,51,86,Male,35777,12
694,28,77,27,Male,42941,14
695,18,49,54,Female,55108,7
696,23,60,55,Male,60488,19
697,34,15,79,Female,59573,11
698,40,86,49,Male,45517,9
699,23,54,11,Female,46248,1
700,44,41,14,Male,45866,12
701,31,63,94,Female,46360,8
702,37,81,100,Male,50327,5
703,23,61,30,Female,51960,21
704,20,84,77,Male,52814,4
705,55,32,66,Female,47612,10
706,31,42,38,Female,62885,17
707,45,28,22,Male,59118,6
708,45,45,58,Female,72444,1
709,56,17,33,Male,71515,9
710,46,28,43,Female,22099,6
711,52,81,46,Female,66215,16
712,37,47,55,Female,50375,8
713,32,32,84,Female,51501,14
714,35,49,99,Male,50683,17
715,35,69,47,Male,29890,7
716,58,69,54,Female,50544,8
717,37,28,23,Male,59595,13
718,39,73,58,Female,80091,15
719,27,36,10,Female,52951,9
720,24,46,51,Male,50825,14
721,36,77,71,Male,41531,12
722,24,71,20,Male,74556,4
723,41,66,49,Female,50296,13
724,46,50,50,Male,57330,19
725,35,19,28,Male,58567,4
726,23,25,12,Male,39843,16
727,47,58,81,Male,26661,10
728,27,62,52,Female,56110,16
729,35,46,69,Female,37907,13
730,34,64,58,Female,46264,15
731,48,69,75,Female,66762,11
732,50,44,77,Male,53862,7
733,32,54,7,Female,53414,11
734,38,69,47,Female,66205,10
735,18,28,90,Male,41681,13
736,30,38,74,Female,54619,8
737,24,38,8,Female,26169,11
738,27,21,100,Female,64784,16
739,25,43,34,Female,20297,15
740,43,55,15,Female,43351,9
741,38,23,4,Female,62652,19
742,33,57,12,Female,16402,11
743,58,41,44,Female,45613,18
744,31,42,74,Male,39191,8
745,36,31,69,Male,52844,12
746,38,30,59,Male,69097,12
747,37,40,100,Female,39211,8
748,37,65,100,Male,51972,15
749,48,51,36,Male,35313,13
750,64,47,76,Female,56245,14
751,60,44,89,Male,40750,10
752,18,28,77,Male,59190,14
753,51,35,13,Female,48181,17
754,44,41,57,Female,56607,14
755,34,36,41,Female,39012,12
756,33,27,39,Female,32645,12
757,53,23,16,Female,42317,17
758,37,61,68,Male,50727,8
759,38,73,52,Female,62247,7
760,48,75,70,Male,54315,6
761,33,65,32,Male,36018,13
762,18,59,59,Male,69610,12
763,29,46,63,Female,46059,14
764,18,27,32,Male,80472,8
765,29,41,47,Male,57347,13
766,44,15,30,Male,40037,14
767,41,48,89,Male,52463,3
768,33,40,100,Male,64798,1
769,21,15,93,Male,45302,8
770,54,30,40,Female,49786,18
771,30,84,35,Female,62211,16
772,25,52,60,Male,59082,11
773,34,35,77,Male,57085,6
774,22,87,14,Female,37123,18
775,29,15,65,Female,73541,20
776,40,45,53,Male,45315,14
777,23,43,79,Male,55854,10
778,24,15,9,Male,27247,16
779,46,66,56,Male,42083,14
780,39,18,69,Female,56312,10
781,42,70,5,Male,40849,17
782,22,70,39,Female,44152,7
783,22,35,12,Male,44713,13
784,52,52,45,Male,118207,11
785,26,39,74,Female,29434,26
786,32,16,54,Female,71303,9
787,35,51,42,Female,30058,4
788,37,52,49,Female,43089,8
789,49,33,17,Male,55870,4
790,32,36,83,Male,26375,20
791,30,40,30,Female,35643,5
792,37,44,46,Female,57160,13
793,36,52,67,Female,1214,17
794,34,33,26,Male,48315,12
795,19,72,81,Male,92633,14
796,44,65,79,Male,59133,17
797,50,52,31,Male,38210,7
798,46,48,46,Male,35978,2
799,38,53,49,Female,81509,24
800,54,61,65,Female,25970,15
801,48,52,6,Female,56866,1
802,18,62,8,Male,49218,5
803,36,58,2,Male,15372,15
804,35,42,55,Female,61751,14
805,45,39,72,Male,55139,10
806,25,61,43,Female,79244,11
807,51,35,46,Male,55398,14
808,20,15,29,Male,57975,15
809,18,59,89,Female,66229,6
810,51,67,42,Male,56141,5
811,39,45,99,Female,27067,20
812,33,15,16,Male,24496,6
813,25,47,55,Female,55193,14
814,34,15,28,Female,41201,14
815,36,48,52,Male,32434,14
816,41,41,54,Male,48299,14
817,40,24,43,Male,44341,10
818,38,50,44,Male,53350,10
819,23,67,100,Male,85809,1
820,39,74,16,Female,19988,10
821,37,30,63,Female,51561,18
822,50,50,45,Female,70979,8
823,34,40,30,Male,48780,5
824,37,39,76,Female,68120,16
825,23,60,74,Male,47257,19
826,33,74,66,Male,70471,13
827,43,38,43,Female,42099,10
828,26,33,79,Female,59330,12
829,26,62,52,Male,56740,8
830,31,65,85,Female,58821,13
831,56,31,73,Male,28544,5
832,38,61,43,Female,72867,7
833,40,58,56,Female,57883,18
834,18,85,23,Female,43110,13
835,19,75,28,Male,57744,10
836,45,53,14,Male,64441,9
837,30,81,9,Female,26340,12
838,45,57,64,Male,57950,13
839,21,27,23,Female,27033,6
840,34,57,48,Female,34667,15
841,42,47,55,Female,34831,12
842,43,62,48,Male,17708,13
843,35,31,10,Male,63483,12
844,45,26,16,Female,43736,7
845,35,51,59,Male,35676,15
846,18,26,30,Female,41628,14
847,18,76,43,Female,38532,14
848,43,57,12,Female,53769,11
849,19,33,41,Male,49730,4
850,40,96,47,Female,57626,18
851,30,51,66,Male,60094,8
852,45,58,81,Female,52840,8
853,37,63,24,Female,52554,6
854,18,39,80,Female,39633,10
855,25,33,90,Male,46873,18
856,34,30,54,Male,35276,12
857,39,86,54,Male,42318,13
858,47,78,7,Female,41549,17
859,31,79,55,Male,67015,6
860,49,82,70,Male,33724,9
861,44,53,43,Male,40169,6
862,39,54,58,Female,32650,5
863,25,66,44,Female,68599,14
864,55,37,52,Male,40658,8
865,45,30,4,Female,29204,11
866,25,62,61,Male,51640,17
867,43,20,52,Female,33259,17
868,24,64,83,Female,43210,11
